"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.084294648E0,-6.475171447E-2,1.157589629E-1,1.350012124E-1,1.892570986E-1
1.092767648E0,-8.521570265E-2,5.955936015E-2,1.343903542E-1,1.699111552E-1
1.093633648E0,-8.521570265E-2,5.955936015E-2,1.343903542E-1,1.699111552E-1
1.102077648E0,-1.139263660E-1,6.108652335E-3,1.117883399E-1,1.597284115E-1
1.102942648E0,-1.139263660E-1,6.108652335E-3,1.117883399E-1,1.597284115E-1
1.111411648E0,-1.472185254E-1,-2.260201424E-2,8.552113175E-2,1.717498450E-1
1.112268648E0,-1.472185254E-1,-2.260201424E-2,8.552113175E-2,1.717498450E-1
1.120763648E0,-1.692096740E-1,-2.474004216E-2,6.566801667E-2,1.831837107E-1
1.121621648E0,-1.692096740E-1,-2.474004216E-2,6.566801667E-2,1.831837107E-1
1.130264648E0,-1.750128865E-1,-8.857546374E-3,5.467243865E-2,1.835675410E-1
1.131141648E0,-1.750128865E-1,-8.857546374E-3,5.467243865E-2,1.835675410E-1
1.139438648E0,-1.612684280E-1,1.466076635E-2,4.642575979E-2,1.684571017E-1
1.140294648E0,-1.612684280E-1,1.466076635E-2,4.642575979E-2,1.684571017E-1
1.148703648E0,-1.429424733E-1,2.718350291E-2,2.840523422E-2,1.482509725E-1
1.149593648E0,-1.429424733E-1,2.718350291E-2,2.840523422E-2,1.482509725E-1
1.158023648E0,-1.264491081E-1,4.062253982E-2,2.107485011E-2,1.344757115E-1
1.158870648E0,-1.264491081E-1,4.062253982E-2,2.107485011E-2,1.344757115E-1
1.167387648E0,-1.127046347E-1,5.650503561E-2,2.565634064E-2,1.286600231E-1
1.168254648E0,-1.127046347E-1,5.650503561E-2,2.565634064E-2,1.286600231E-1
1.176662648E0,-1.038470939E-1,7.941248268E-2,3.695734590E-2,1.358543585E-1
1.177520648E0,-1.038470939E-1,7.941248268E-2,3.695734590E-2,1.358543585E-1
1.185992648E0,-9.010262042E-2,1.010981947E-1,6.200282276E-2,1.489418585E-1
1.186841648E0,-9.010262042E-2,1.010981947E-1,6.200282276E-2,1.489418585E-1
1.195298648E0,-8.124507964E-2,1.145372316E-1,7.757988572E-2,1.604312284E-1
1.196174648E0,-8.124507964E-2,1.145372316E-1,7.757988572E-2,1.604312284E-1
1.204649648E0,-8.888089657E-2,1.267545372E-1,8.674286306E-2,1.774566166E-1
1.205511648E0,-8.888089657E-2,1.267545372E-1,8.674286306E-2,1.774566166E-1
1.214000648E0,-1.096503139E-1,1.716531366E-1,1.041525230E-1,2.287700563E-1
1.214879648E0,-1.096503139E-1,1.716531366E-1,1.041525230E-1,2.287700563E-1
1.223291648E0,-1.346957833E-1,2.428189367E-1,1.221730486E-1,3.033648692E-1
1.224145648E0,-1.346957833E-1,2.428189367E-1,1.221730486E-1,3.033648692E-1
1.232578648E0,-1.734857261E-1,3.228422701E-1,1.609629989E-1,4.002917880E-1
1.233437648E0,-1.734857261E-1,3.228422701E-1,1.609629989E-1,4.002917880E-1
1.241908648E0,-2.076941878E-1,4.004221559E-1,2.031126916E-1,4.947014696E-1
1.242789648E0,-2.076941878E-1,4.004221559E-1,2.031126916E-1,4.947014696E-1
1.251380648E0,-2.507601976E-1,4.636467099E-1,2.492330223E-1,5.830660750E-1
1.252248648E0,-2.507601976E-1,4.636467099E-1,2.492330223E-1,5.830660750E-1
1.260505648E0,-2.718350291E-1,4.819726646E-1,2.693915665E-1,6.154378511E-1
1.261329648E0,-2.718350291E-1,4.819726646E-1,2.693915665E-1,6.154378511E-1
1.269885648E0,-2.864958048E-1,4.605923891E-1,2.654209435E-1,6.038820020E-1
1.270750648E0,-2.864958048E-1,4.605923891E-1,2.654209435E-1,6.038820020E-1
1.279217648E0,-3.103195429E-1,3.875939846E-1,2.611449063E-1,5.610026539E-1
1.280075648E0,-3.103195429E-1,3.875939846E-1,2.611449063E-1,5.610026539E-1
1.288512648E0,-3.310889602E-1,3.029891551E-1,2.516764700E-1,5.145516235E-1
1.289391648E0,-3.310889602E-1,3.029891551E-1,2.516764700E-1,5.145516235E-1
1.297894648E0,-3.549126983E-1,2.446515262E-1,2.394591719E-1,4.931106242E-1
1.298805648E0,-3.549126983E-1,2.446515262E-1,2.394591719E-1,4.931106242E-1
1.307151648E0,-3.582724631E-1,2.168571651E-1,2.348776907E-1,4.801600956E-1
1.308000648E0,-3.582724631E-1,2.168571651E-1,2.348776907E-1,4.801600956E-1
1.316486648E0,-3.601050675E-1,2.070833147E-1,2.202169150E-1,4.701644909E-1
1.317351648E0,-3.601050675E-1,2.070833147E-1,2.202169150E-1,4.701644909E-1
1.325792648E0,-3.833179474E-1,1.982257664E-1,1.994474977E-1,4.754002604E-1
1.326656648E0,-3.833179474E-1,1.982257664E-1,1.994474977E-1,4.754002604E-1
1.335133648E0,-4.260784984E-1,2.076941878E-1,1.899790913E-1,5.106582199E-1
1.335990648E0,-4.260784984E-1,2.076941878E-1,1.899790913E-1,5.106582199E-1
1.344468648E0,-4.526511431E-1,2.467895597E-1,1.896736622E-1,5.493398240E-1
1.345332648E0,-4.526511431E-1,2.467895597E-1,1.896736622E-1,5.493398240E-1
1.353788648E0,-4.816672504E-1,2.822197378E-1,1.875356287E-1,5.889150469E-1
1.354675648E0,-4.816672504E-1,2.822197378E-1,1.875356287E-1,5.889150469E-1
1.363106648E0,-5.103778839E-1,2.950479090E-1,1.893682331E-1,6.191923616E-1
1.363993648E0,-5.103778839E-1,2.950479090E-1,1.893682331E-1,6.191923616E-1
1.372383648E0,-5.632177591E-1,2.797762752E-1,1.857030392E-1,6.557245055E-1
1.373236648E0,-5.632177591E-1,2.797762752E-1,1.857030392E-1,6.557245055E-1
1.381679648E0,-6.459900141E-1,2.275473028E-1,1.768454909E-1,7.073579016E-1
1.382516648E0,-6.459900141E-1,2.275473028E-1,1.768454909E-1,7.073579016E-1
1.391059648E0,-7.363980412E-1,1.502728462E-1,1.679879427E-1,7.701194403E-1
1.391920648E0,-7.363980412E-1,1.502728462E-1,1.679879427E-1,7.701194403E-1
1.400370648E0,-8.081747293E-1,9.040805697E-2,1.603521258E-1,8.288744260E-1
1.401228648E0,-8.081747293E-1,9.040805697E-2,1.603521258E-1,8.288744260E-1
1.409707648E0,-8.463537693E-1,7.238753140E-2,1.542434692E-1,8.633340636E-1
1.410561648E0,-8.463537693E-1,7.238753140E-2,1.542434692E-1,8.633340636E-1
1.419010648E0,-8.576548100E-1,7.880161703E-2,1.658499092E-1,8.770904516E-1
1.419907648E0,-8.576548100E-1,7.880161703E-2,1.658499092E-1,8.770904516E-1
1.428353648E0,-8.350527883E-1,1.099557430E-1,1.930334121E-1,8.640979822E-1
1.429226648E0,-8.350527883E-1,1.099557430E-1,1.930334121E-1,8.640979822E-1
1.437658648E0,-8.121453524E-1,1.450804919E-1,2.235766798E-1,8.547601735E-1
1.438517648E0,-8.121453524E-1,1.450804919E-1,2.235766798E-1,8.547601735E-1
1.446999648E0,-7.870998979E-1,1.627955884E-1,2.367102802E-1,8.378904520E-1
1.447862648E0,-7.870998979E-1,1.627955884E-1,2.367102802E-1,8.378904520E-1
1.456295648E0,-7.626652718E-1,1.679879427E-1,2.367102802E-1,8.160331013E-1
1.457161648E0,-7.626652718E-1,1.679879427E-1,2.367102802E-1,8.160331013E-1
1.465602648E0,-7.504479289E-1,1.463022232E-1,2.394591719E-1,8.011973100E-1
1.466456648E0,-7.504479289E-1,1.463022232E-1,2.394591719E-1,8.011973100E-1
1.474963648E0,-7.565566301E-1,1.087340117E-1,2.489275932E-1,8.038444915E-1
1.475823648E0,-7.565566301E-1,1.087340117E-1,2.489275932E-1,8.038444915E-1
1.484270648E0,-7.648032904E-1,6.719517708E-2,2.629774809E-1,8.115395371E-1
1.485170648E0,-7.648032904E-1,6.719517708E-2,2.629774809E-1,8.115395371E-1
1.493582648E0,-7.794640660E-1,3.817907721E-2,2.721404731E-1,8.264879366E-1
1.494456648E0,-7.794640660E-1,3.817907721E-2,2.721404731E-1,8.264879366E-1
1.502910648E0,-7.977899909E-1,2.840523422E-2,2.739730477E-1,8.440005674E-1
1.503779648E0,-7.977899909E-1,2.840523422E-2,2.739730477E-1,8.440005674E-1
1.512208648E0,-8.246681094E-1,3.329215571E-2,2.712241709E-1,8.687625736E-1
1.513062648E0,-8.246681094E-1,3.329215571E-2,2.712241709E-1,8.687625736E-1
1.521528648E0,-8.567385077E-1,5.283984542E-2,2.700024247E-1,8.998301113E-1
1.522387648E0,-8.567385077E-1,5.283984542E-2,2.700024247E-1,8.998301113E-1
1.531066648E0,-8.753699064E-1,8.185594529E-2,2.721404731E-1,9.203441237E-1
1.532052648E0,-8.753699064E-1,8.185594529E-2,2.721404731E-1,9.203441237E-1
1.540223648E0,-8.787296414E-1,9.560041130E-2,2.855795026E-1,9.289030486E-1
1.541088648E0,-8.787296414E-1,9.560041130E-2,2.855795026E-1,9.289030486E-1
1.549527648E0,-8.799513578E-1,1.111774743E-1,2.868012190E-1,9.321640211E-1
1.550397648E0,-8.799513578E-1,1.111774743E-1,2.868012190E-1,9.321640211E-1
1.558824648E0,-8.585711122E-1,1.505782902E-1,2.907718420E-1,9.188941398E-1
1.559700648E0,-8.585711122E-1,1.505782902E-1,2.907718420E-1,9.188941398E-1
1.568154648E0,-8.197811842E-1,1.689042449E-1,2.993239760E-1,8.889120747E-1
1.569022648E0,-8.197811842E-1,1.689042449E-1,2.993239760E-1,8.889120747E-1
1.577468648E0,-7.971791625E-1,1.395827085E-1,2.984076738E-1,8.625688897E-1
1.578441648E0,-7.971791625E-1,1.395827085E-1,2.984076738E-1,8.625688897E-1
1.586799648E0,-8.121453524E-1,7.696902007E-2,2.803871334E-1,8.626246275E-1
1.587649648E0,-8.121453524E-1,7.696902007E-2,2.803871334E-1,8.626246275E-1
1.596102648E0,-8.423831463E-1,5.345070735E-2,2.638937831E-1,8.843677244E-1
1.596952648E0,-8.423831463E-1,5.345070735E-2,2.638937831E-1,8.843677244E-1
1.605433648E0,-8.646797538E-1,7.391469181E-2,2.492330223E-1,9.029128184E-1
1.606271648E0,-8.646797538E-1,7.391469181E-2,2.492330223E-1,9.029128184E-1
1.614750648E0,-8.698720932E-1,1.291979998E-1,2.532036304E-1,9.151402407E-1
